p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.30931477156897e-35,1.21198511728534,0.437,0.039,4.44010762901408e-31,1,Mhc
3.32938726640517e-35,0.361507410077605,0.733,0.161,4.46703889533582e-31,1,Sox102F
3.52575338916476e-35,0.350642491225304,0.693,0.139,4.73050332224236e-31,1,Ziz
3.91214051067506e-35,0.261797459457889,0.451,0.041,5.24891892317272e-31,1,emp
4.05315231548517e-35,0.53554750729782,0.401,0.024,5.43811446168646e-31,1,CG7888
4.24931764065762e-35,0.474956881614275,0.61,0.107,5.70130947847033e-31,1,Treh
4.26126395869766e-35,0.528738924066263,0.625,0.112,5.71733785338465e-31,1,Timp
4.30263116506487e-35,0.2818691643693,0.357,0.01,5.77284023416754e-31,1,sqa
4.78678776821977e-35,1.51821192277039,0.975,0.706,6.42243314862047e-31,1,rdgA
6.41255995524189e-35,0.286002739154686,0.379,0.017,8.60373169194804e-31,1,rgr
6.4550103932722e-35,0.333976813491382,0.668,0.127,8.66068744465331e-31,1,olf186-F
7.81894201447807e-35,0.618988352037146,0.347,0.007,1.04906745008252e-30,1,Ance-3
8.58569095333321e-35,0.754237372808588,0.578,0.097,1.15194215520872e-30,1,CG18067
9.03691429864137e-35,0.311631907786944,0.534,0.075,1.21248279144871e-30,1,CG12535
9.41964872310734e-35,0.378869106172064,0.419,0.032,1.26383426917931e-30,1,uif
1.09555908702171e-34,0.430710892320364,0.375,0.017,1.46991162705703e-30,1,cher
1.71817139583547e-34,0.742633171433765,0.473,0.054,2.30527056179245e-30,1,Sp1
1.73868134167185e-34,0.347609623586869,0.675,0.134,2.33278875612112e-30,1,CG5946
1.85953822930444e-34,0.880428107635234,0.899,0.341,2.49494244225776e-30,1,pyd
2.19470740850772e-34,0.517478747098741,0.422,0.034,2.94463892999481e-30,1,Drip
2.73661851777369e-34,0.262201671164093,0.43,0.036,3.67172106529696e-30,1,peb
2.91520927797742e-34,0.353438697723061,0.372,0.017,3.91133628826231e-30,1,CG1632
3.04518388699402e-34,0.329783153192641,0.444,0.041,4.08572322117988e-30,1,CG15118
3.38924354344076e-34,0.317345765640362,0.455,0.046,4.54734806223446e-30,1,red
4.11293266030214e-34,0.26204920341458,0.487,0.058,5.51832175032738e-30,1,Plp
4.24641187352481e-34,0.311264143455835,0.372,0.017,5.69741081070824e-30,1,ck
4.60189870896429e-34,0.604187912659158,0.852,0.238,6.17436749781739e-30,1,NK7.1
